Ambientes,Antigüedad,Baños,Bodegas,Cocheras,Departamentos por piso,Disposición,Dormitorios,Expensas,Orientación,Piso (unidad),Pisos,Superficie cubierta,Superficie total,Tipo de departamento,address,neighborhood,price
1,,2,,,,Frente,,6432,,,,71,85,Departamento,Juramento 1900,Belgrano - Capital Federal,26000
1,0 años,1,,,,,,4800,,,1,41,44,,Arcos Al 2600,Belgrano - Capital Federal,17500
1,5 años,1,,1,,Frente,,7000,Norte,,,42,42,,Quartier Madero Urbano,Puerto Madero - Capital Federal,20000
1,0 años,1,,,,,,2200,,,,,,,Juana Azurduy Al 3400,Coghlan - Capital Federal,13500
1,2 años,1,,,,Frente,,4800,,,,38,41,,Riobamba Al 400,Balvanera - Capital Federal,12000
1,0 años,1,,,20,Contrafrente,,,,3,7,38,42,,Medrano 1020,Almagro - Capital Federal,12000
1,0 años,1,,,,Interno,,3200,,,1,40,42,,Roosevelt Al 3000,Belgrano - Capital Federal,16900
1,,1,,,,,,,,,,32,32,Departamento,Av. Franklin Roosevelt 4900,Villa Urquiza - Capital Federal,18000
1,0 años,1,,,,,,1600,,,,,,,San Martin Av. Al 5700,Villa Devoto - Capital Federal,11500
1,0 años,1,,,,Frente,,,,,,25,34,Departamento,Venezuela Al 3700,Almagro - Capital Federal,9200
1,0 años,1,,,,Interno,,3200,,,1,40,42,,Roosevelt Al 3000,Belgrano - Capital Federal,16000
1,0 años,,,,,,,3100,,,,34,37,,Güemes Al 3000,Barrio Norte - Capital Federal,15000
1,0 años,1,,,,Frente,,2200,Este,,,38,43,,Soler Al 6000,Palermo Hollywood - Capital Federal,16000
1,,1,,,,,,3300,,,,42,42,Departamento,Jorge Newbery 1700,Las Cañitas - Capital Federal,16000
1,3 años,1,,,,Frente,,2800,Norte,,1,40,43,,Sucre Al 900,Belgrano Barrancas - Capital Federal,13500
1,,1,,,,Frente,,4500,,,,30,36,Departamento,Aráoz 2900,Barrio Norte - Capital Federal,15000
,,3,,,,,,,,,,117,120,,Ayacucho 1800,Recoleta - Capital Federal,28000
,,3,,,,,,,,,,117,120,,Ayacucho 1800,Recoleta - Capital Federal,28000
1,,1,,,,Lateral,,4263,,,25,31,31,Departamento,Esmeralda 800,Monserrat - Capital Federal,12000
1,40 años,1,,,3,Lateral,,1800,,,8,26,26,Departamento,Pringles Al 700,Almagro - Capital Federal,8900
1,,1,,,,,,,,,,26,26,,Av. Rivadavia 1167,Monserrat - Capital Federal,260
1,45 años,1,,,4,Interno,,,Sur,3,9,23,23,,Pasco 400,San Cristóbal - Capital Federal,8500
1,,1,,,,,,2100,,,,33,33,,Av Corrientes 1373,San Nicolás - Capital Federal,16000
1,0 años,1,,1,3,Contrafrente,,3000,,,8,30,49,Departamento,Mendoza Al 1700,Núñez - Capital Federal,15500
1,0 años,1,,,3,Contrafrente,,2600,,,8,30,49,Departamento,Mendoza Al 1700,Belgrano - Capital Federal,13000
1,0 años,1,,,3,Contrafrente,,2600,,,8,30,49,Departamento,Mendoza Al 1700,Núñez - Capital Federal,13000
1,,1,,,,,,,,,,20,20,Departamento,Suipacha 400 - Alq Monoamb - Oportunidad!!,San Nicolás - Capital Federal,9200
1,0 años,1,,1,3,Contrafrente,,3000,,,8,30,49,Departamento,Mendoza Al 1700,Belgrano - Capital Federal,15500
1,9 años,1,,,3,Frente,,,,,3,30,30,Departamento,Lemos Al 200,Chacarita - Capital Federal,9800
1,,1,,,,,,,,,,29,31,Departamento,Blanco Encalada 2500,Belgrano - Capital Federal,12000
1,0 años,1,,,,,,2300,,,,35,37,,Salguero 1600,Palermo - Capital Federal,13500
1,25 años,1,,,,Frente,,1700,,,14,27,30,Departamento,Av Angel Gallardo Al 1000,Caballito - Capital Federal,11000
1,0 años,1,,,4,Frente,,1200,,,8,45,50,Departamento,Av. Ricardo Balbin  Al 3600,Saavedra - Capital Federal,15000
1,0 años,1,,,,Frente,,3750,Este,,,55,55,,Av. Callao 1200,Recoleta - Capital Federal,18500
1,0 años,1,,,,,,,,,,,20,,Juan Ramirez De Velasco Al 700,Villa Crespo - Capital Federal,17500
1,1 años,1,,,,,,,,,,30,36,Departamento,Av. Angel Gallardo 1084,Caballito - Capital Federal,13000
3,0 años,2,,1,,Frente,,,Norte,,5,75,108,,Rojas Entre Vallese Felipe Y Arengreen,Caballito - Capital Federal,41000
1,40 años,1,,,8,Contrafrente,,,Este,,12,27,27,,Corrientes 2362,Balvanera - Capital Federal,8000
1,13 años,1,,,,Lateral,,,,,22,38,38,,Bernardo De Irigoyen Al 200,Monserrat - Capital Federal,16500
1,0 años,1,,,,Frente,,2300,Este,,1,38,44,,Tunez Nº Al 2500,Belgrano - Capital Federal,14000
1,2 años,1,,,2,Frente,,,Sur,7,3,30,33,,Deheza 3050,Saavedra - Capital Federal,12000
1,2 años,1,,,2,Frente,,,Sur,7,3,30,33,,Deheza 3050,Saavedra - Capital Federal,12000
1,0 años,1,,,,Frente,,2300,Este,,1,38,44,,Tunez Nº Al 2500,Núñez - Capital Federal,14000
1,0 años,1,,,,Lateral,,,,,,45,45,,Armenia Al 2300,Botánico - Capital Federal,16500
1,35 años,1,,,,,,990,,,7,18,30,,Pacheco De Melo Y Sanchez De Bustamante Venta De Departamento Mono Ambiente. Recoleta. Usd 60.000,Recoleta - Capital Federal,13800
1,,1,,,,Frente,,2000,,,,33,36,Departamento,Llerena 2400,Agronomía - Capital Federal,17000
1,,1,,,,Contrafrente,,2000,,,15,23,23,Departamento,Solís 600,Monserrat - Capital Federal,10000
1,,,,1,,,,,,,,42,47,Departamento,Azopardo 770,San Telmo - Capital Federal,16000
1,50 años,1,,,,Frente,,,Norte,,,17,17,,Pasaje Vittoria Al 2300,Recoleta - Capital Federal,18000
1,,1,,,,Contrafrente,,2800,,,5,38,38,Departamento,Quintana 4600,Saavedra - Capital Federal,10500
1,,1,,,,Frente,,2500,,,14,32,36,Departamento,Tacuari 1100,San Telmo - Capital Federal,12500
1,20 años,1,,,4,Frente,,,,,8,26,296,,Laprida 1294,Barrio Norte - Capital Federal,10000
1,0 años,1,,,,,,7000,,,,34,,,Salguero Al 2600,Palermo Chico - Capital Federal,18000
1,40 años,1,,,3,Lateral,,1800,,,8,26,26,Departamento,Pringles Al 700,Caballito - Capital Federal,8900
1,0 años,1,,,3,Contrafrente,,1200,,,5,32,38,Departamento,Jose Verdi Al 1700,Monte Castro - Capital Federal,11000
1,,1,,,,Frente,,2500,,,14,32,36,Departamento,San Juan 800,San Telmo - Capital Federal,12500
1,,1,,,,Frente,,6000,,,,50,50,Departamento,Av. Corrientes 5500,Villa Crespo - Capital Federal,12000
2,6 años,1,,,,Contrafrente,,2500,Norte,,1,30,32,,Mendes De Andes Al 400,Caballito - Capital Federal,16000
2,6 años,1,,,,Contrafrente,,2500,Norte,,1,30,32,,Mendes De Andes Al 400,Caballito - Capital Federal,16000
1,45 años,1,,,4,Interno,,,Sur,3,9,23,23,,Pasco  400,Congreso - Capital Federal,8500
1,0 años,1,,,,,,,,,,37,41,Departamento,Triunvirato Al 2900,Villa Ortúzar - Capital Federal,9500
1,10 años,1,,,3,Contrafrente,,,,,10,40,80,Departamento,Billinghurst Al 900,Almagro - Capital Federal,17500
1,30 años,1,,,3,,,,,,3,36,36,Departamento,Quinteros  Al 1400,Núñez - Capital Federal,15200
1,,1,,,,,,3000,,,,23,23,,El Salvador 5400,Palermo Hollywood - Capital Federal,9500
1,,1,,,,,,,,,,27,29,,Yerbal 2147,Flores - Capital Federal,11000
1,30 años,,,,,Interno,,1800,,,,,19,,"Alberdi, Juan B., Av. Entre Doblas Y Viel",Caballito - Capital Federal,9000
1,,1,,,,Contrafrente,,3600,,,10,30,35,Departamento,Serrano 500,Villa Crespo - Capital Federal,10500
2,4 años,1,,,,Frente,,5300,Sur,,9,45,50,,"Directorio, Avda. Entre Curapaligue, Avda. Y Pumacahua",Caballito - Capital Federal,12000
1,9 años,1,,,,Frente,,,,,8,32,32,,Paraguay Al 2900,Barrio Norte - Capital Federal,16000
,5 años,,,,,Frente,,8900,Oeste,,,,47,,Lumiere - Olga Cosettini Al 1500,Puerto Madero - Capital Federal,36000
,80 años,3,,,,Frente,,9000,Este,,1,142,,,Peatonal M.t. De Alvear Al 900,San Nicolás - Capital Federal,30000
1,0 años,1,,1,,Contrafrente,,4500,,,1,38,45,,Malabia Al 1900,Palermo - Capital Federal,16500
1,,1,,,,Frente,,2800,,,10,37,43,Semi piso,Ramon Falcon 6200,Liniers - Capital Federal,9000
1,5 años,1,,,,Frente,,1700,Este,,,,38,,Bulnes Al 1200,Palermo - Capital Federal,15000
1,45 años,1,,,4,Interno,,,Sur,3,9,23,23,,Pasco 400,Balvanera - Capital Federal,8500
1,,1,,,,,,,,,,80,80,Loft,Tucuman Entre Lavalle Y Suipacha,Balvanera - Capital Federal,13000
,,1,,,,,,2400,,,,35,40,,Av. Triunvirato 3961,Villa Urquiza - Capital Federal,11000
1,,1,,,,Contrafrente,,2100,,,,60,60,Departamento,Tucumán 800,Monserrat - Capital Federal,13000
1,45 años,1,,,,Frente,,,,,,30,30,,Echenagucía 98,Villa Luro - Capital Federal,8000
