rooms,age,bath,neighborhood,aparment_floor,view,bedrooms,expenses,floor,nbr_floors,covered area,total_area,type,address,price
1.0,,2.0,Belgrano - Capital Federal,,Frente,,6432.0,,,71.0,85.0,Departamento,Juramento 1900,26000
1.0,0 años,1.0,Belgrano - Capital Federal,,,,4800.0,,1.0,41.0,44.0,,Arcos Al 2600,17500
1.0,5 años,1.0,Puerto Madero - Capital Federal,,Frente,,7000.0,,,42.0,42.0,,Quartier Madero Urbano,20000
1.0,0 años,1.0,Coghlan - Capital Federal,,,,2200.0,,,,,,Juana Azurduy Al 3400,13500
1.0,2 años,1.0,Balvanera - Capital Federal,,Frente,,4800.0,,,38.0,41.0,,Riobamba Al 400,12000
1.0,0 años,1.0,Almagro - Capital Federal,20.0,Contrafrente,,,3.0,7.0,38.0,42.0,,Medrano 1020,12000
1.0,0 años,1.0,Belgrano - Capital Federal,,Interno,,3200.0,,1.0,40.0,42.0,,Roosevelt Al 3000,16900
1.0,,1.0,Villa Urquiza - Capital Federal,,,,,,,32.0,32.0,Departamento,Av. Franklin Roosevelt 4900,18000
1.0,0 años,1.0,Villa Devoto - Capital Federal,,,,1600.0,,,,,,San Martin Av. Al 5700,11500
1.0,0 años,1.0,Almagro - Capital Federal,,Frente,,,,,25.0,34.0,Departamento,Venezuela Al 3700,9200
1.0,0 años,1.0,Belgrano - Capital Federal,,Interno,,3200.0,,1.0,40.0,42.0,,Roosevelt Al 3000,16000
1.0,0 años,,Barrio Norte - Capital Federal,,,,3100.0,,,34.0,37.0,,Güemes Al 3000,15000
1.0,0 años,1.0,Palermo Hollywood - Capital Federal,,Frente,,2200.0,,,38.0,43.0,,Soler Al 6000,16000
1.0,,1.0,Las Cañitas - Capital Federal,,,,3300.0,,,42.0,42.0,Departamento,Jorge Newbery 1700,16000
1.0,3 años,1.0,Belgrano Barrancas - Capital Federal,,Frente,,2800.0,,1.0,40.0,43.0,,Sucre Al 900,13500
1.0,,1.0,Barrio Norte - Capital Federal,,Frente,,4500.0,,,30.0,36.0,Departamento,Aráoz 2900,15000
,,3.0,Recoleta - Capital Federal,,,,,,,117.0,120.0,,Ayacucho 1800,28000
,,3.0,Recoleta - Capital Federal,,,,,,,117.0,120.0,,Ayacucho 1800,28000
1.0,,1.0,Monserrat - Capital Federal,,Lateral,,4263.0,,25.0,31.0,31.0,Departamento,Esmeralda 800,12000
1.0,40 años,1.0,Almagro - Capital Federal,3.0,Lateral,,1800.0,,8.0,26.0,26.0,Departamento,Pringles Al 700,8900
1.0,,1.0,Monserrat - Capital Federal,,,,,,,26.0,26.0,,Av. Rivadavia 1167,260
